aux;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
-34-73;14,72;14,99;14,40;13,14;12,11;11,02;10,14;9,83;10,31;11,14;12,04;13,34
-34-72;12,03;12,08;11,02;8,60;6,72;5,11;4,14;4,46;5,67;7,14;8,83;10,55
-34-71;10,01;10,02;8,86;6,30;4,56;2,09;1,27;1,52;2,64;4,13;6,00;8,36
-34-70;-4,59;-4,81;-6,04;-8,92;-14,25;-19,28;-20,55;-18,87;-16,23;-11,80;-8,56;-6,28
-34-69;8,69;7,65;5,71;1,38;-1,67;-3,52;-4,21;-3,82;-2,55;1,09;4,06;7,13
-34-68;12,26;11,05;8,93;4,21;0,65;-1,76;-2,55;-1,73;0,53;4,46;7,49;10,66
-34-67;12,46;11,21;9,04;4,48;1,46;-1,37;-2,32;-1,02;1,09;5,00;7,86;11,10
-34-66;11,03;9,95;7,97;3,64;0,75;-1,93;-2,96;-1,84;0,05;3,91;6,64;9,81
-35-76;15,07;15,57;15,14;13,93;12,59;11,17;10,15;9,77;10,05;10,83;11,89;13,52
-35-75;14,72;15,18;14,51;13,32;12,20;10,88;10,05;9,68;9,91;10,73;11,90;13,34
-35-74;14,23;14,49;13,97;12,76;11,88;10,64;9,81;9,50;9,99;10,79;11,77;13,00
-35-73;13,97;14,16;13,76;12,45;11,53;10,37;9,51;9,30;9,87;10,65;11,55;12,78
-35-72;9,69;9,60;7,91;4,82;2,50;0,31;-0,70;-0,15;1,41;3,43;5,57;7,91
-35-71;10,64;10,69;9,15;5,89;3,53;0,67;-0,04;0,46;1,74;3,33;5,56;8,43
-35-70;-3,11;-3,59;-4,76;-7,51;-12,28;-17,29;-18,54;-17,19;-15,01;-10,22;-6,84;-4,67
-35-69;7,82;6,52;4,58;0,26;-2,78;-4,46;-5,18;-4,87;-3,54;-0,01;2,80;6,16
-35-68;11,75;10,53;8,53;4,08;0,67;-1,45;-2,48;-1,86;0,34;3,92;6,89;10,09
-35-67;12,08;10,91;8,56;4,05;0,88;-1,74;-2,81;-1,77;0,68;4,46;7,61;10,68
-35-66;11,43;10,47;8,13;3,70;0,54;-1,94;-3,07;-2,07;0,55;4,17;7,26;10,24
-36-76;14,79;15,27;14,77;13,52;12,16;10,69;9,77;9,35;9,57;10,40;11,57;13,16
-36-75;14,39;14,76;14,20;12,88;11,59;10,34;9,50;9,22;9,50;10,34;11,53;12,98
-36-74;13,65;13,82;13,30;12,14;11,22;10,00;9,16;9,09;9,61;10,29;11,30;12,55
-36-73;13,04;13,20;12,64;11,14;9,93;8,66;8,06;8,10;8,86;9,58;10,70;11,96
-36-72;9,37;9,36;7,72;4,35;2,26;-0,11;-1,12;-0,52;0,73;2,76;4,91;7,47
-36-71;6,01;5,95;4,06;1,24;-0,98;-3,53;-4,67;-3,89;-2,56;-1,35;0,63;3,64
-36-70;-0,69;-1,25;-2,97;-5,50;-8,51;-13,77;-14,92;-12,95;-9,90;-6,94;-5,17;-2,70
-36-69;3,60;2,74;0,91;-2,99;-5,04;-6,45;-7,70;-6,96;-5,93;-3,78;-1,41;1,84
-36-68;8,58;7,61;5,55;1,79;-1,25;-3,03;-4,17;-3,73;-2,07;1,35;4,13;6,98
-36-67;11,28;10,25;7,80;3,42;0,13;-2,26;-3,09;-2,30;0,12;3,85;6,99;9,87
-36-66;11,24;10,23;7,69;3,35;0,12;-2,36;-3,20;-2,30;0,21;3,81;7,02;9,93
-37-76;14,49;14,94;14,32;13,15;11,68;10,23;9,38;8,98;9,33;10,03;11,18;12,81
-37-75;14,17;14,47;13,86;12,59;11,25;9,86;9,13;8,90;9,16;9,90;11,14;12,74
-37-74;13,17;13,31;12,62;11,37;10,08;8,96;8,16;8,23;8,81;9,61;10,71;12,03
-37-73;9,77;9,96;8,79;5,98;3,75;1,91;1,04;1,58;2,81;4,26;6,36;8,01
-37-72;5,75;6,24;5,00;1,81;0,25;-2,10;-3,15;-2,69;-1,65;-0,18;1,91;3,97
-37-71;0,82;0,88;-0,40;-3,37;-5,13;-8,18;-10,07;-8,89;-6,42;-5,00;-3,20;-1,22
-37-70;1,58;1,24;-0,76;-3,85;-5,74;-8,48;-10,17;-8,44;-6,63;-4,82;-3,12;-0,38
-37-69;6,93;6,30;4,21;0,28;-2,59;-4,22;-4,96;-4,45;-3,33;-0,28;2,41;5,19
-37-68;9,08;8,20;6,15;2,04;-1,04;-3,12;-3,96;-3,41;-1,67;1,73;4,57;7,41
-37-67;11,34;10,34;7,68;3,31;-0,27;-2,51;-3,30;-2,50;-0,02;3,75;6,84;9,94
-37-66;11,18;10,06;7,36;3,12;-0,52;-2,89;-3,54;-2,66;-0,21;3,47;6,64;9,78
-38-76;14,14;14,58;14,01;12,78;11,19;9,88;8,85;8,64;8,84;9,62;10,73;12,38
-38-75;13,95;14,21;13,50;12,27;10,92;9,52;8,76;8,55;8,83;9,57;10,74;12,39
-38-74;11,95;12,09;11,22;9,55;8,05;6,80;5,95;6,14;6,96;8,02;9,36;10,77
-38-73;6,18;6,32;5,23;2,97;0,62;-0,97;-1,68;-1,03;0,01;1,94;3,77;5,24
-38-72;3,31;3,79;2,56;-0,04;-1,52;-3,49;-4,85;-4,17;-2,90;-1,65;0,28;2,12
-38-71;-1,61;-0,91;-2,14;-4,30;-5,91;-8,69;-10,33;-9,60;-6,76;-5,57;-4,37;-2,76
-38-70;4,06;3,84;2,27;-1,42;-3,74;-5,17;-6,00;-5,18;-4,22;-2,44;0,05;2,40
-38-69;8,63;8,11;5,80;1,53;-1,77;-3,73;-4,34;-3,69;-1,89;1,30;4,14;6,91
-38-68;9,79;9,11;6,61;2,39;-1,02;-3,32;-4,13;-3,26;-1,19;2,25;5,25;8,11
-38-67;11,15;9,97;7,17;2,89;-0,64;-3,04;-3,86;-2,93;-0,65;3,08;6,35;9,45
-38-66;11,08;9,81;7,04;2,80;-0,68;-3,20;-3,88;-2,98;-0,67;3,06;6,33;9,34
-39-76;13,69;14,10;13,62;12,41;10,80;9,38;8,43;8,28;8,47;9,13;10,27;11,92
-39-75;13,54;13,78;13,24;11,96;10,48;9,18;8,31;8,14;8,39;9,23;10,37;11,96
-39-74;12,21;12,29;11,53;9,95;8,42;7,32;6,30;6,62;7,47;8,44;9,68;10,92
-39-73;6,69;6,96;5,76;3,65;1,09;-0,24;-1,43;-0,28;1,26;2,78;4,38;5,90
-39-72;2,80;3,08;1,67;-0,66;-2,09;-4,08;-5,18;-4,57;-3,14;-1,52;0,14;2,06
-39-71;-0,40;-0,12;-1,39;-3,70;-5,33;-8,44;-10,10;-8,98;-5,89;-4,46;-3,18;-1,25
-39-70;2,84;2,86;1,04;-2,24;-4,21;-6,08;-7,26;-5,94;-4,59;-3,11;-0,90;1,42
-39-69;8,90;8,48;5,86;1,78;-1,62;-3,64;-4,26;-3,57;-1,67;1,62;4,68;7,29
